出账费用归一化,B域上月4G流量(MB),B域上月通话时长(min),接入网,是否使用5G,5G的概率
0.07512156395752705,0.0,123.0,0,1,0.5113301755515484
0.9960305646521782,11801.03,859.0,0,1,0.5917243386425989
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.198174059740002,0.0,17.0,0,1,0.5015661021605294
0.007641163044556912,9069.45,28.0,0,1,0.5130540377435941
0.19549469088022228,0.1,74.0,0,1,0.5068173362854751
0.007641163044556912,0.0,1.0,0,1,0.5000919820330056
0.18626575369653667,0.06,106.0,0,1,0.5097647012131223
0.007641163044556912,0.0,33.0,0,1,0.5030401753725865
1.0,383.91,519.0,0,1,0.5481107211975279
0.2234792100823658,0.0,6.0,0,1,0.5005526540253539
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.20809764810955642,498.59,19.0,0,1,0.502326349941164
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.39466110945717975,27185.02,134.0,0,1,0.5436396736624266
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.285501637392081,647.38,323.0,0,1,0.5304686546492344
0.5507591545102709,13086.35,108.0,0,1,0.525047137964586
0.9583209288478713,53404.09,83.0,0,1,0.5689006178403221
0.12077007045747742,0.0,9.0,0,1,0.5008290448213198
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.9801528232608911,0.29,344.0,0,1,0.5316513362646227
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.18626575369653667,1099.29,86.0,0,1,0.5091921448044071
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.321226555522477,1345.27,170.0,0,1,0.5172096601860177
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.36489034434851647,13351.37,189.0,0,1,0.5327898559989424
0.716681552049221,10021.98,508.0,0,1,0.5581170412022727
1.0,843.64,485.0,0,1,0.5455321451386979
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.058251463729284504,0.01,26.0,0,1,0.5023952831944408
0.10687704674010122,2382.65,245.0,0,1,0.5253031621482692
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.18626575369653667,0.0,7.0,0,1,0.5006447841827095
0.8958023221196785,1605.27,77.0,0,1,0.508947603834038
0.9910687704674009,46443.08,229.0,0,1,0.5741994069794266
0.7608415202937383,13328.7,35.0,0,1,0.518613848220295
1.0,20332.28,345.0,0,1,0.5550502422703009
0.1961893420660911,0.0,0.0,0,0,0.499999859564292
0.3847375210876253,0.69,27.0,0,1,0.502488215628925
1.0,4828.52,5016.0,0,1,0.8665569283130269
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.7816810558698025,80949.55,295.0,0,1,0.6184046843844586
1.0,6563.35,4677.0,0,1,0.8524488353430169
0.28748635506599185,2126.08,163.0,0,1,0.517466452064576
0.48397340478316964,1338.77,68.0,0,1,0.5078108391995131
0.007641163044556912,0.0,37.0,0,1,0.5034086888802216
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.10687704674010122,3157.08,346.0,0,1,0.535465150617253
1.0,39474.4,1424.0,0,1,0.6697811468866546
0.06718269326188349,0.0,0.0,0,0,0.4999998528980909
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.007641163044556912,0.0,2.0,0,1,0.5001841142383825
0.20512057159869007,0.0,11.0,0,1,0.5010133129777654
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.8908405279349012,35046.08,46.0,0,1,0.544605945082511
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.18626575369653667,0.0,45.0,0,1,0.5041457136144715
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.1961893420660911,16447.93,11.0,0,1,0.5200040491861085
0.198174059740002,13.64,5.0,0,1,0.5004762781526114
0.9454202639674506,56998.32,2.0,0,1,0.5656500759080724
0.6625979954351493,10873.88,153.0,0,1,0.5266328964224601
0.9900764116304456,9607.0,34.0,0,1,0.5142270105267389
0.10687704674010122,1163.62,560.0,0,1,0.5527412366169846
1.0,35541.08,775.0,0,1,0.6106022240049715
0.23687605438126427,0.26,22.0,0,1,0.502027059603802
0.583209288478714,18581.79,101.0,0,1,0.5307329949410936
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.007641163044556912,0.0,0.0,0,0,0.4999998498213826
0.9106877046740102,9998.9,65.0,0,1,0.5175324966316317
0.6814528133373028,35727.89,235.0,0,1,0.5625953625169969
