出账费用归一化,B域上月4G流量(MB),B域上月通话时长(min),接入网,是否使用5G,5G的概率
0.9900764116304456,8600.53,853.0,0,0,0.06027914678458012
0.48695048129403595,3227.35,171.0,0,0,0.04966232668886844
0.6844298898481691,41418.5,201.0,0,0,0.06845301067335156
0.3113029671529225,1766.57,21.0,0,0,0.04872331046167073
0.5916443385928353,15723.86,1368.0,0,0,0.09765522761605175
0.3916840329463135,1977.65,16.0,0,0,0.04712488739747229
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.8809169395653468,13245.13,264.0,0,0,0.049072747018910415
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.0691674109357944,31726.33,250.0,0,0,0.08139864100641013
0.5893619132678377,1469.46,165.0,0,0,0.046629680381827784
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.9910687704674009,17293.03,207.0,0,0,0.047490501836781454
0.5102709139624889,25472.25,247.0,0,0,0.06402752061693902
0.1088617644140121,8039.55,164.0,0,0,0.06061083407340576
0.06718269326188349,6513.58,163.0,0,0,0.060670291791522876
0.9930534881413119,24053.07,330.0,0,0,0.054105076594249533
0.3843405775528432,3729.6,102.0,0,0,0.050268315056448964
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.14974694849657635,6922.43,780.0,0,0,0.08006040595985442
0.7211471668155205,1250.19,3.0,0,0,0.04056735813922455
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.39466110945717975,60.48,0.0,0,0,0.045778330795452085
0.007641163044556912,199.83,11.0,0,0,0.054014654926317116
0.29542522576163543,419.86,200.0,0,0,0.052964864696381495
0.583209288478714,10204.62,89.0,0,0,0.04917598214375246
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.007641163044556912,0.0,1.0,0,0,0.05363355901680193
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.305745757665972,4866.75,310.0,0,0,0.0583210761962412
0.8809169395653468,2733.08,1263.0,0,0,0.07285232319174399
0.22298303066388805,2296.85,0.0,0,0,0.05025356596350569
0.18626575369653667,0.0,42.0,0,0,0.05090597338801896
0.30137937878336807,3491.83,15.0,0,0,0.04963942691537917
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
1.0,11309.77,1738.0,0,0,0.09540495406628224
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.285501637392081,15224.14,133.0,0,0,0.05973236815053117
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.36687506202242737,6676.38,260.0,0,0,0.05650270821724978
0.6824451721742582,6579.02,115.0,0,0,0.0461012997385512
0.6179418477721544,141.89,690.0,0,0,0.05929682617555832
0.5931328768482684,18132.64,194.0,0,0,0.05598548595005399
0.10389997022923489,0.29,85.0,0,0,0.0538049557557901
0.5507591545102709,32500.59,20.0,0,0,0.060343911928136276
0.7965664384241341,5942.17,0.0,0,0,0.04120527924061425
0.007641163044556912,7422.83,323.0,0,0,0.06793269972745122
0.6030564652178229,0.0,0.0,0,0,0.04198622994338592
0.007641163044556912,0.0,0.0,1,0,0.05360647014691635
0.9900764116304456,9.56,0.0,0,0,0.0357719605012379
1.0,58736.78,88.0,0,0,0.0677933494925565
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.38771459759849164,2547.76,242.0,0,0,0.05324136462455083
1.0,3454.11,106.0,0,0,0.03898248642404264
0.34603552644636304,741.79,188.0,0,0,0.05173679097670978
0.10687704674010122,123.21,9.0,0,0,0.05177830699395163
0.2656544606529721,0.1,10.0,0,0,0.04848443893703249
0.10687704674010122,0.0,0.0,0,0,0.05147831532186159
0.10687704674010122,27.51,20.0,0,0,0.05201669254715221
0.007641163044556912,0.0,0.0,1,0,0.05360647014691635
0.007641163044556912,0.0,0.0,1,0,0.05360647014691635
0.20611293043564555,0.0,0.0,0,0,0.049430234610112575
0.05725910489232906,0.0,19.0,0,0,0.0530393381482082
0.10687704674010122,41261.25,351.0,0,0,0.09250061838780149
0.29264662101816014,6507.75,183.0,0,0,0.05592265591601892
0.10687704674010122,0.09,56.0,0,0,0.052957771040220245
0.8809169395653468,1694.47,123.0,0,0,0.04056703770308241
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.39466110945717975,32030.88,404.0,0,0,0.0773968531290702
0.007641163044556912,0.0,0.0,1,0,0.05360647014691635
0.007641163044556912,122.92,1.0,0,0,0.053700567806654866
0.9920611293043565,15074.75,194.0,1,0,0.0460998892870339
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
1.0,9550.27,393.0,0,0,0.04805152729728203
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.10687704674010122,2131.86,34.0,0,0,0.053519170720674074
1.0,3128.79,227.0,0,0,0.0413370899326184
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.14528133373027685,0.0,128.0,0,0,0.05406633287561327
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.547484370348318,21837.76,93.0,0,0,0.056278022538373634
0.007641163044556912,0.0,0.0,0,0,0.05360647014691635
0.16641857695742782,1741.31,13.0,0,0,0.05147722099340614
